"ID_sp","ID_BPE","date","nom_bpe","date_validation_thesaurus"
1,"A101","toutes","police","11/03/2020"
1,"A104","toutes","gendarmerie","11/03/2020"
2,"A201",2009,"bureau de poste","11/03/2020"
2,"A206","2013-2018","bureau de poste","11/03/2020"
3,"A207","2013-2018","relais poste","11/03/2020"
3,"A208","2013-2018","agence postale communale","11/03/2020"
4,"A115","2013-2018","agence/réseau spécialisé pôle emploi","11/03/2020"
4,"A122",2018,"réseau de proximité pôle emploi","11/03/2020"
4,"A110",2013,"agence de proximité pôle emploi","11/03/2020"
4,"A111",2013,"relais de proximité pôle emploi","11/03/2020"
4,"A112",2013,"permanence pôle emploi","11/03/2020"
5,"A116",2013,"relais et maison de service public (pôle emploi)","11/03/2020"
5,"A117",2013,"PIMMS (pôle emploi)","11/03/2020"
5,"A118",2013,"espace public numérique et autres (pôle emploi)","11/03/2020"
5,"A123",2018,"réseau partenarial pôle emploi","11/03/2020"
6,"A119","2013-2018","DGFiP ","11/03/2020"
6,"A120","2013-2018","DRFiP ","11/03/2020"
6,"A121","2013-2018","DDFiP ","11/03/2020"
7,"C201","toutes","collège","11/03/2020"
7,"C301","toutes","lycée général et/ou techno","11/03/2020"
7,"C302","toutes","lycée professionnel","11/03/2020"
7,"C303","toutes","lycée d’enseignement technique et/ou professionnel agricole","11/03/2020"
8,"C501","toutes","UFR","11/03/2020"
8,"C502","toutes","Institut universitaire","11/03/2020"
8,"C509","toutes","autre enseignement supérieur","11/03/2020"
9,"C402","toutes","formation santé","11/03/2020"
9,"C409","toutes","autre formation post-bac non universitaire","11/03/2020"
9,"C503","toutes","école d’ingénieurs","11/03/2020"
10,"A105","toutes","cour d’appel","11/03/2020"
10,"A106","toutes","tribunal de grande instance","11/03/2020"
10,"A107","toutes","tribunal d’instance","11/03/2020"
10,"A108","toutes","conseil de prud’hommes","11/03/2020"
10,"A109","toutes","tribunal de commerce","11/03/2020"
11,"D101","toutes","Établissement santé court séjour","18/03/2020"
11,"D106","toutes","Urgences","18/03/2020"
11,"D107","toutes","Maternité","18/03/2020"
