"taille";"nombre";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
2,5;39098;-0,178709789591375;-0,225068735367238
5;12958;-0,145743227645441;-0,185357613242003
7,5;6932;-0,110592165066511;-0,150421336276918
10;4456;-0,0958538825351292;-0,135935658991204
12,5;3166;-0,0761940747418321;-0,114605004960705
15;2349;-0,081094129695645;-0,122926138557532
17,5;1838;-0,0812663101586581;-0,117268384877981
20;1489;-0,0271656259088758;-0,0579624257681324
22,5;1213;-0,0218795680493424;-0,0580632843518886
25;1019;-0,021367043678927;-0,0648013271584012
27,5;877;-0,00972286493818726;-0,0246565489867782
30;742;-0,00154310580332795;-0,00517681335268462
32,5;643;-0,0142258070158267;-0,0497134990198459
35;568;0,0715979165936113;-0,0499189602741441
