"taille";"service";"regions";"nombre";"correlation_sp_pop_evo_90_09";"correlation_sp_pop_evo_99_09"
2,5;"bureaux de poste";"Auvergne-Rhône-Alpes";38496;-0,153077610074079;-0,201025915996667
2,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";22674;0,159584399028256;0,162525703353323
2,5;"Établissements de santé";"Auvergne-Rhône-Alpes";10643;-0,119186867372413;-0,127603911957043
5;"bureaux de poste";"Auvergne-Rhône-Alpes";12793;-0,10888762490972;-0,157055319613279
5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";8496;0,223063831342637;0,221030516848577
5;"Établissements de santé";"Auvergne-Rhône-Alpes";4213;-0,125791112032992;-0,128300531398029
7,5;"bureaux de poste";"Auvergne-Rhône-Alpes";6862;-0,0711947284622172;-0,118664025440325
7,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";4969;0,176212868234828;0,17811756806898
7,5;"Établissements de santé";"Auvergne-Rhône-Alpes";2641;-0,103241846099581;-0,108449363141528
10;"bureaux de poste";"Auvergne-Rhône-Alpes";4417;-0,0813840237601507;-0,133099616354342
10;"collèges et lycées publics";"Auvergne-Rhône-Alpes";3443;0,258011295195589;0,276751297547968
10;"Établissements de santé";"Auvergne-Rhône-Alpes";1959;-0,0930635007587464;-0,100845449766657
12,5;"bureaux de poste";"Auvergne-Rhône-Alpes";3140;-0,0468471330958749;-0,0973422289962172
12,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";2584;0,327145561011969;0,308875570724662
12,5;"Établissements de santé";"Auvergne-Rhône-Alpes";1569;-0,109694321135848;-0,114270884909109
15;"bureaux de poste";"Auvergne-Rhône-Alpes";2334;-0,0546282191191619;-0,0977624565596692
15;"collèges et lycées publics";"Auvergne-Rhône-Alpes";2019;0,204056970540122;0,174174442634643
15;"Établissements de santé";"Auvergne-Rhône-Alpes";1325;-0,0388472464127759;-0,054362222604118
17,5;"bureaux de poste";"Auvergne-Rhône-Alpes";1826;-0,0528465705797854;-0,0893093480977252
17,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";1633;0,248745880187033;0,211360395175138
17,5;"Établissements de santé";"Auvergne-Rhône-Alpes";1134;-0,0915400023270267;-0,111736293593392
20;"bureaux de poste";"Auvergne-Rhône-Alpes";1479;0,00394323235859879;-0,0409160299984122
20;"collèges et lycées publics";"Auvergne-Rhône-Alpes";1340;0,305578598064586;0,273751696453508
20;"Établissements de santé";"Auvergne-Rhône-Alpes";962;-0,0590551477865432;-0,0906405286504753
22,5;"bureaux de poste";"Auvergne-Rhône-Alpes";1209;-0,0108698542734496;-0,0469357327007897
22,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";1123;0,214409410002798;0,193322946048091
22,5;"Établissements de santé";"Auvergne-Rhône-Alpes";851;0,00781787024613738;-0,0174685618315931
25;"bureaux de poste";"Auvergne-Rhône-Alpes";1017;-0,0228729045801486;-0,0585442741923991
25;"collèges et lycées publics";"Auvergne-Rhône-Alpes";954;0,45268856367803;0,450180067198738
25;"Établissements de santé";"Auvergne-Rhône-Alpes";768;0,0261932191011204;0,00512016307497852
27,5;"bureaux de poste";"Auvergne-Rhône-Alpes";875;0,00998160810014857;-0,00677446855857197
27,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";834;0,530338506712483;0,478784862343256
27,5;"Établissements de santé";"Auvergne-Rhône-Alpes";690;-0,0203612023502386;-0,0344717216315888
30;"bureaux de poste";"Auvergne-Rhône-Alpes";740;0,0104683497813215;-0,00524013331784935
30;"collèges et lycées publics";"Auvergne-Rhône-Alpes";704;0,466472225136953;0,426633746804247
30;"Établissements de santé";"Auvergne-Rhône-Alpes";597;-0,014275022474402;0,00389554542228716
32,5;"bureaux de poste";"Auvergne-Rhône-Alpes";641;0,00316494241095452;-0,0415176841622412
32,5;"collèges et lycées publics";"Auvergne-Rhône-Alpes";618;0,352856582210125;0,345458470382621
32,5;"Établissements de santé";"Auvergne-Rhône-Alpes";547;0,0643061531008499;0,0422261228891775
35;"bureaux de poste";"Auvergne-Rhône-Alpes";568;0,0935207623291137;-0,019607887699194
35;"collèges et lycées publics";"Auvergne-Rhône-Alpes";551;0,513422058110381;0,489993709535602
35;"Établissements de santé";"Auvergne-Rhône-Alpes";504;-0,0360273847269987;-0,0712989259650699
