"rowid";"annee";"typologie";"nombre_total";"taille";"pourc_par_an"
1;"2013";"police et gendarmerie nationales";1299;"Grande";4,17068002311693
1;"2013";"équipements juridictionnels
d'ordre judiciaire";346;"Grande";1,11089706543376
1;"2013";"établissement public ou privé de santé";1304;"Grande";4,186733448918
1;"2013";"bureau de poste";4218;"Grande";13,5426700057792
1;"2013";"établissement public d'éducation secondaire";4012;"Grande";12,8812688627753
1;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1231;"Grande";3,95235343222244
1;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";655;"Grande";2,10299877993964
1;"2013";"service postal de remplacement
des bureaux de poste";1533;"Grande";4,92198035060682
1;"2013";"service de l'emploi avec
conseiller spécialisé";603;"Grande";1,93604315160855
1;"2013";"direction des finances publiques";2549;"Grande";8,18403647338342
1;"2018";"police et gendarmerie nationales";1240;"Grande";4,03212694696452
1;"2018";"équipements juridictionnels
d'ordre judiciaire";350;"Grande";1,13810034793353
1;"2018";"établissement public ou privé de santé";1223;"Grande";3,97684778720775
1;"2018";"bureau de poste";3724;"Grande";12,1093877020128
1;"2018";"établissement public d'éducation secondaire";4007;"Grande";13,0296231261991
1;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";1179;"Grande";3,83377231489611
1;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";665;"Grande";2,16239066107372
1;"2018";"service postal de remplacement
des bureaux de poste";2157;"Grande";7,01394985855038
1;"2018";"service de l'emploi avec
conseiller spécialisé";525;"Grande";1,7071505219003
1;"2018";"direction des finances publiques";2406;"Grande";7,8236269632231
2;"2013";"police et gendarmerie nationales";612;"Moyenne";1,96493931805047
2;"2013";"équipements juridictionnels
d'ordre judiciaire";381;"Moyenne";1,22327104604123
2;"2013";"établissement public ou privé de santé";684;"Moyenne";2,19610864958582
2;"2013";"bureau de poste";1731;"Moyenne";5,55769601232903
2;"2013";"établissement public d'éducation secondaire";1486;"Moyenne";4,7710781480768
2;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";347;"Moyenne";1,11410775059398
2;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";194;"Moyenne";0,622872921081359
2;"2013";"service postal de remplacement
des bureaux de poste";1246;"Moyenne";4,00051370962563
2;"2013";"service de l'emploi avec
conseiller spécialisé";258;"Moyenne";0,828356771335003
2;"2013";"direction des finances publiques";1326;"Moyenne";4,25736852244269
2;"2018";"police et gendarmerie nationales";590;"Moyenne";1,91851201508796
2;"2018";"équipements juridictionnels
d'ordre judiciaire";389;"Moyenne";1,26491724384613
2;"2018";"établissement public ou privé de santé";643;"Moyenne";2,09085292491789
2;"2018";"bureau de poste";1481;"Moyenne";4,81579032939876
2;"2018";"établissement public d'éducation secondaire";1452;"Moyenne";4,72149058628426
2;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";340;"Moyenne";1,10558319513543
2;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";199;"Moyenne";0,64709134068221
2;"2018";"service postal de remplacement
des bureaux de poste";1578;"Moyenne";5,13120671154034
2;"2018";"service de l'emploi avec
conseiller spécialisé";233;"Moyenne";0,757649660195753
2;"2018";"direction des finances publiques";1285;"Moyenne";4,17845413455598
3;"2013";"police et gendarmerie nationales";623;"Petite";2,00025685481282
3;"2013";"équipements juridictionnels
d'ordre judiciaire";77;"Petite";0,247222757336416
3;"2013";"établissement public ou privé de santé";584;"Petite";1,8750401335645
3;"2013";"bureau de poste";904;"Petite";2,90245938483272
3;"2013";"établissement public d'éducation secondaire";1150;"Petite";3,69228793424517
3;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";28;"Petite";0,0898991844859693
3;"2013";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";104;"Petite";0,333911256662172
3;"2013";"service postal de remplacement
des bureaux de poste";477;"Petite";1,53149682142169
3;"2013";"service de l'emploi avec
conseiller spécialisé";244;"Petite";0,783407179092018
3;"2013";"direction des finances publiques";940;"Petite";3,0180440506004
3;"2018";"police et gendarmerie nationales";616;"Petite";2,00305661236302
3;"2018";"équipements juridictionnels
d'ordre judiciaire";80;"Petite";0,260137222384808
3;"2018";"établissement public ou privé de santé";572;"Petite";1,85998114005138
3;"2018";"bureau de poste";805;"Petite";2,61763080024713
3;"2018";"établissement public d'éducation secondaire";1119;"Petite";3,6386693981075
3;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements exclusivement publics)";26;"Petite";0,0845445972750626
3;"2018";"établissement public d'éducation supérieure
(filières de formation dans
des établissements publics ou privés)";106;"Petite";0,344681819659871
3;"2018";"service postal de remplacement
des bureaux de poste";642;"Petite";2,08760120963808
3;"2018";"service de l'emploi avec
conseiller spécialisé";253;"Petite";0,822683965791955
3;"2018";"direction des finances publiques";868;"Petite";2,82248886287517
